expiration,DTE,strike,option_type,openInterest
2026-09-02,1,165.0,CALL,245.0
2026-09-02,1,170.0,CALL,1.0
2026-09-02,1,175.0,CALL,407.0
2026-09-02,1,200.0,CALL,8.0
2026-09-02,1,230.0,CALL,1.0
2026-09-02,1,260.0,CALL,1.0
2026-09-02,1,270.0,CALL,1.0
2026-09-02,1,275.0,CALL,0.0
2026-09-02,1,280.0,CALL,1.0
2026-09-02,1,285.0,CALL,11.0
2026-09-02,1,290.0,CALL,11.0
2026-09-02,1,295.0,CALL,27.0
2026-09-02,1,297.5,CALL,18.0
2026-09-02,1,300.0,CALL,37.0
2026-09-02,1,302.5,CALL,20.0
2026-09-02,1,305.0,CALL,8.0
2026-09-02,1,307.5,CALL,5.0
2026-09-02,1,310.0,CALL,38.0
2026-09-02,1,312.5,CALL,46.0
2026-09-02,1,315.0,CALL,46.0
2026-09-02,1,317.5,CALL,32.0
2026-09-02,1,320.0,CALL,94.0
2026-09-02,1,322.5,CALL,102.0
2026-09-02,1,325.0,CALL,52.0
2026-09-02,1,327.5,CALL,23.0
2026-09-02,1,330.0,CALL,141.0
2026-09-02,1,332.5,CALL,70.0
2026-09-02,1,335.0,CALL,150.0
2026-09-02,1,337.5,CALL,77.0
2026-09-02,1,340.0,CALL,963.0
2026-09-02,1,342.5,CALL,289.0
2026-09-02,1,345.0,CALL,764.0
2026-09-02,1,347.5,CALL,504.0
2026-09-02,1,350.0,CALL,1582.0
2026-09-02,1,352.5,CALL,1757.0
2026-09-02,1,355.0,CALL,2796.0
2026-09-02,1,357.5,CALL,784.0
2026-09-02,1,360.0,CALL,2691.0
2026-09-02,1,362.5,CALL,877.0
2026-09-02,1,365.0,CALL,5972.0
2026-09-02,1,367.5,CALL,3500.0
2026-09-02,1,370.0,CALL,6174.0
2026-09-02,1,372.5,CALL,2511.0
2026-09-02,1,375.0,CALL,4460.0
2026-09-02,1,377.5,CALL,3044.0
2026-09-02,1,380.0,CALL,3745.0
2026-09-02,1,382.5,CALL,1404.0
2026-09-02,1,385.0,CALL,3188.0
2026-09-02,1,387.5,CALL,1124.0
2026-09-02,1,390.0,CALL,3383.0
2026-09-02,1,392.5,CALL,857.0
2026-09-02,1,395.0,CALL,964.0
2026-09-02,1,397.5,CALL,1085.0
2026-09-02,1,400.0,CALL,12892.0
2026-09-02,1,402.5,CALL,693.0
2026-09-02,1,405.0,CALL,794.0
2026-09-02,1,407.5,CALL,852.0
2026-09-02,1,410.0,CALL,733.0
2026-09-02,1,412.5,CALL,545.0
2026-09-02,1,415.0,CALL,542.0
2026-09-02,1,417.5,CALL,40.0
2026-09-02,1,420.0,CALL,775.0
2026-09-02,1,422.5,CALL,267.0
2026-09-02,1,425.0,CALL,314.0
2026-09-02,1,427.5,CALL,90.0
2026-09-02,1,430.0,CALL,320.0
2026-09-02,1,432.5,CALL,284.0
2026-09-02,1,435.0,CALL,274.0
2026-09-02,1,437.5,CALL,13.0
2026-09-02,1,440.0,CALL,769.0
2026-09-02,1,445.0,CALL,156.0
2026-09-02,1,450.0,CALL,385.0
2026-09-02,1,455.0,CALL,148.0
2026-09-02,1,460.0,CALL,278.0
2026-09-02,1,465.0,CALL,11.0
2026-09-02,1,470.0,CALL,63.0
2026-09-02,1,475.0,CALL,327.0
2026-09-02,1,480.0,CALL,139.0
2026-09-02,1,485.0,CALL,26.0
2026-09-02,1,490.0,CALL,114.0
2026-09-02,1,495.0,CALL,51.0
2026-09-02,1,500.0,CALL,822.0
2026-09-02,1,505.0,CALL,101.0
2026-09-02,1,510.0,CALL,23.0
2026-09-02,1,515.0,CALL,151.0
2026-09-02,1,520.0,CALL,17.0
2026-09-02,1,525.0,CALL,22.0
2026-09-02,1,530.0,CALL,23.0
2026-09-02,1,535.0,CALL,42.0
2026-09-02,1,540.0,CALL,24.0
2026-09-02,1,545.0,CALL,15.0
2026-09-02,1,550.0,CALL,82.0
2026-09-02,1,555.0,CALL,18.0
2026-09-02,1,560.0,CALL,28.0
2026-09-02,1,565.0,CALL,32.0
2026-09-02,1,570.0,CALL,25.0
2026-09-02,1,575.0,CALL,34.0
2026-09-02,1,580.0,CALL,17.0
2026-09-02,1,585.0,CALL,7.0
2026-09-02,1,590.0,CALL,15.0
2026-09-02,1,600.0,CALL,94.0
2026-09-02,1,610.0,CALL,12.0
2026-09-02,1,620.0,CALL,15.0
2026-09-02,1,630.0,CALL,210.0
2026-09-02,1,160.0,PUT,346.0
2026-09-02,1,165.0,PUT,7022.0
2026-09-02,1,170.0,PUT,1015.0
2026-09-02,1,175.0,PUT,1002.0
2026-09-02,1,180.0,PUT,227.0
2026-09-02,1,185.0,PUT,6211.0
2026-09-02,1,190.0,PUT,58.0
2026-09-02,1,195.0,PUT,4.0
2026-09-02,1,200.0,PUT,2.0
2026-09-02,1,205.0,PUT,1.0
2026-09-02,1,210.0,PUT,7.0
2026-09-02,1,215.0,PUT,30.0
2026-09-02,1,220.0,PUT,1074.0
2026-09-02,1,225.0,PUT,1017.0
2026-09-02,1,230.0,PUT,5.0
2026-09-02,1,235.0,PUT,283.0
2026-09-02,1,240.0,PUT,84.0
2026-09-02,1,245.0,PUT,14.0
2026-09-02,1,250.0,PUT,195.0
